hotel_name,hotel_description,review_title,review_text,tripdate,hotel_url,hotel_image,price_range,rating_value,review_count,street_address,locality,country,sentiment_rate,sentiment_rate_average
Romance Istanbul Hotel,"Romance Istanbul Hotel has 39 rooms.Every room is elegantly furnished and harmonizes the modern life style with the traditional Ottoman touch. Romance Istanbul sits at the intersection of the old city’s most important part. With its luxuriously inspiring design and landmark old city location, steeped in the history of its surroundings, Romance Istanbul Hotel welcomes you with exceptional designed rooms and world-renowned Turkish hospitality. Our colleagues deliver the most personal service. It is perfectly placed and perfectly designed to enhance all that Istanbul has to offer. Each room offers a private bathroom and shower. Each is equipped with a satellite TV and free wifi connection. The rooms size change between 20 m2 and 45 m2. It includes 7 suite rooms: 1 Royal Suite, 4 Grand Suite, 1 Romance Suite and 1 Premium Suite, 2 Luxury Room With Terrace, 22 Deluxe Room, 8 City Room.","An exceptional boutique hotel, great value for your money",, February 2020,https://www.tripadvisor.com/Hotel_Review-g293974-d8364987-Reviews-Romance_Istanbul_Hotel-Istanbul.html,https://media-cdn.tripadvisor.com/media/photo-s/1c/02/78/ba/romance-istanbul-hotel.jpg,$ (Based on Average Nightly Rates for a Standard Room from our Partners),5.0,4023,Hudavendigar Cd. No:5 Sirkeci,Istanbul,Turkiye,0.998935878276825,0.998473483324051
Hotel Sultania,"Hotel Sultania is a deluxe boutique hotel with a harem design and located at the heart of the old city and within walking distance to Saint Sophia, Blue Mosque, Topkapi Palace and Bosphorus.",Exellent location and service; quirky clever rooms,, January 2020,https://www.tripadvisor.com/Hotel_Review-g293974-d1732739-Reviews-Hotel_Sultania-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/02/77/fc/hotel-sultania.jpg?w=500&h=-1&s=1,$ (Based on Average Nightly Rates for a Standard Room from our Partners),5.0,4975,Ebusuud Caddesi Mehmet Murat Sok. No: 4,Istanbul,Türkiye,0.99887615442276,0.9943938076496124
Conrad Istanbul Bosphorus,"Boasting a perfect location between 2 continents, indulge in a stay at Conrad Istanbul Bosphorus and discover yourself at one of the world's most alluring destinations. At the very centre of the city, yet far away from the hustle and bustle, Conrad Istanbul Bosphorus's rooms and suites allow for the highest standard of relaxation, complete with personalised comfort and services. Savor Mediterranean cuisine at Manzara, take in the view of the Bosphorus while lounging at the Summit Bar. Relax with Spa treatments, enjoy a revitalizing workout in the brand-new health club and clay tennis courts.",That was awesome experience for me and my family. The hotel was so much clean and comfortable. I really loved the view a,The employees were awesome. I can mention Halay and Sevcan were outstanding in their roles.they have a lot of potential and they are very well rounded in their roles and their ability to make the atmosphere feel good is very important. I really enjoyed their performance during my trip., January 2024,https://www.tripadvisor.com/Hotel_Review-g293974-d294658-Reviews-Conrad_Istanbul_Bosphorus-Istanbul.html,https://media-cdn.tripadvisor.com/media/photo-s/2a/fe/53/c3/exterior.jpg,$ (Based on Average Nightly Rates for a Standard Room from our Partners),4.5,8558,Saray Cd No: 5 Cihannuma Mah.,Istanbul,Turkiye,0.9989136457443237,0.8114895239472389
Hilton Istanbul Bomonti Hotel & Conference Center,"Located in the heart of Şişli, Bomonti, the hotel is a 10-minute walk Osmanbey metro station and only one stop from Taksim Square. Hilton Istanbul Bomonti is the largest hotel in Istanbul with 829 guest rooms including 84 suites all featuring panoramic city and Bosphorus views and a wide range of amenities. All-day dining restaurant, The Globe features live cooking zones showcasing Turkish-Mediterranean, Western grill, and Asian cuisine. Europe’s largest and award-winning eforea Spa offers custom journeys through luxurious treatments. Hilton Fitness, offering 7/24 access features the latest generation of cardio training equipment and indoor and seasonal outdoor swimming pool (Outdoor pool entrance fee is 10 Euros for hotel guests (per guest, per day),except Gold and Diamond Hilton Honors members. Children under 12 age enter free.).",Very Good,"Stay was good overall A special thank you for hotel front(main entrance) Doorman (Mr.Kadir Yayla) Great service, friendly,professional and pleasant Also the house keeping staff  on the 19th floor  were very nice, professional and helpful", January 2024,https://www.tripadvisor.com/Hotel_Review-g293974-d4291665-Reviews-Hilton_Istanbul_Bomonti_Hotel_Conference_Center-Istanbul.html,https://media-cdn.tripadvisor.com/media/photo-s/2b/0a/5d/95/exterior.jpg,$$ (Based on Average Nightly Rates for a Standard Room from our Partners),5.0,7512,Silahsor Cad. No 42,Istanbul,Turkiye,0.9985291957855225,0.9474295228719711
Hotel Yasmak Sultan,"Yasmak Sultan Hotel is a charming four star hotel in Istanbul that places you in the epicenter of the cultural heritage of this Eternal City. Rooms are newly renovated to offer our guests the harmony, comfort and warm atmosphere they deserve. From our hotel you have easy access to all of the most important, most magical sights both of ancient Costantinople and modern Istanbul. Hagia Sophia, Blue Mosque, Topkapi Palace, Basilica Cistern and the Grand Bazaar are at your doorstep. All that Istanbul's Old City Center has to offer is within walking distance of the Yasmak Sultan Hotel. Our hotel features Sultan Spa offering indulgent treatments, meeting facilities and exceptional dining experiences on the rooftop of Olive Restaurant which serves exceptional Turkish Cuisine while you take in the breathraking views of the Bosphorus, Topkapi Palace and Hagia Sophia. Our goal is to provide you with the genuine feel of Turkish hospitality during your stay with us.",A great hotel in a central location and very helpful staff,, December 2021,https://www.tripadvisor.com/Hotel_Review-g293974-d295043-Reviews-Hotel_Yasmak_Sultan-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/02/78/61/hotel-yasmak-sultan.jpg?w=500&h=-1&s=1,$ (Based on Average Nightly Rates for a Standard Room from our Partners),5.0,2797,Ebusuud Caddesi No: 12 Sirkeci,Istanbul,Türkiye,0.9989091157913208,0.8989326134324074
Radisson Blu Hotel Istanbul Ottomare,"With a beautiful location on the Sea of Marmara, the Radisson Blu Hotel, Istanbul Ataköy offers scenic accommodation during your stay in this exquisite area. Conveniently located between Atatürk International",Wonderful hotel and staff,, February 2022,https://www.tripadvisor.com/Hotel_Review-g293974-d9459106-Reviews-Radisson_Blu_Hotel_Istanbul_Ottomare-Istanbul.html,https://media-cdn.tripadvisor.com/media/photo-s/2b/2c/29/8f/exterior.jpg,$ (Based on Average Nightly Rates for a Standard Room from our Partners),5.0,1269,"Kazlicesme Mh., Abay Caddesi No:223 Zeytinburnu",Istanbul,Turkiye,0.9988262057304382,0.6513572096824646
Demiray Hotel&Spa,"Welcome to Demiray Hotel Istanbul, where luxury and convenience seamlessly blend in the heart of the historic Sultanahmet area. Immerse yourself in the enchanting history and vibrant atmosphere of Istanbul as you explore iconic landmarks just a stone's throw away, including Hagia Sophia, the Blue Mosque, the Grand Bazaar, and the Spice Market. Our tastefully decorated and thoughtfully designed rooms provide the perfect retreat after a day of discovering the wonders of Istanbul. Start your day off right with our indulgent buffet breakfast, accompanied by panoramic views showcasing the Golden Horn, the Pera Region, the Bosphorus Strait, Topkapı Palace, and Hagia Sophia. Let these stunning vistas awaken your senses and inspire you for the adventures that await. Stay effortlessly connected with our free wireless and wired internet access available in all rooms and public areas. Whether you need to catch up on work or share your Istanbul experiences with loved ones, you can do so from the comfort of your room or any of our inviting public spaces. Indulge in relaxation and rejuvenation with our range of pampering amenities. Take a dip in our 10-meter-long and 4.50-meter-wide swimming pool, enjoy the soothing experience of a Turkish bath, or unwind in our sauna. Treat yourself to a refreshing and invigorating massage service for the ultimate indulgence. And for those who like to stay active, our state-of-the-art fitness center is equipped to help you maintain your fitness routine. Our dedicated concierge staff is ready to assist you in every aspect of your stay. From arranging transportation to providing local recommendations, we are here to ensure your comfort and satisfaction throughout your visit, making your stay truly memorable. Discover the enchantment of Istanbul from the comfort and convenience of Demiray Hotel Istanbul. Experience the rich history, vibrant culture, and warm hospitality that this remarkable city has to offer. We eagerly await the opportunity to welcome you and provide you with an unforgettable stay.",Great team / Great view / Great location,, June 2023,https://www.tripadvisor.com/Hotel_Review-g293974-d24179906-Reviews-Demiray_Hotel_Spa-Istanbul.html,https://media-cdn.tripadvisor.com/media/photo-s/2a/9b/57/85/demiray-hotel-spa.jpg,$ (Based on Average Nightly Rates for a Standard Room from our Partners),5.0,306,"Hobyar, HocahanI Sok. No:10",Istanbul,Turkiye,0.9988784193992615,0.7963370725512504
White House Hotel Istanbul,"White House Hotel Istanbul is located in the heart of the historical peninsula and it is within walking distance to Hagia Sophia, Blue Mosque, Topkapi Palace, Archeology Museum, the Basilica Cistern, Grand Bazaar, Spice Bazaar, the Millennium Stone and Byzantine Hippodrome, which are the most important landmarks of the city. White House Hotel Istanbul is the ideal starting place for exploring this Ottoman capital city's endless historical sites, museums, restaurants, clubs and shops.",Beautiful and exquisite Hotel!!!,"This is my 7th trip to Istanbul. White House Hotel Istanbul is by far the best hotel in the World I have stayed in, in Sultanahmet. Extremely clean and well kept hotel. Excellent staff, very polite and helpful. They go the extra mile for their guest! The Manager Harun listens to his guess needs and give personal attention to every guest!", January 2024,https://www.tripadvisor.com/Hotel_Review-g293974-d1604061-Reviews-White_House_Hotel_Istanbul-Istanbul.html,https://media-cdn.tripadvisor.com/media/photo-s/1b/c4/f7/fb/white-house-hotel-istanbul.jpg,$ (Based on Average Nightly Rates for a Standard Room from our Partners),5.0,7594,Alemdar Mahallesi Catalcesme Sok No:21,Istanbul,Turkiye,0.9988322854042053,0.9987702071666718
"Swissotel The Bosphorus, Istanbul","Swissotel The Bosphorus, Istanbul, having Safe Hotels Executive Level Certificate for 2016 - 2020, is a five-star luxury hotel right in the centre of Istanbul on the European banks of the Bosphorus. Nestled within 65 acres of historical gardens with world-class shopping and vibrant nightlife nearby, it offers 566 guest rooms, suites and lofts featuring state-of-the-art technology and exclusive amenities. In addition to various meeting space with the capacity of 5 to 1200 people, including function rooms and a ballroom, a team of event planners is on hand to help you hold the perfect wedding at Swissotel The Bosphorus, Istanbul. The award-winning Purovel Spa & Sport offers luxurious holistic spa treatments from all over the world. Secure hotel parking is also available for your vehicle during your stay. Swissotel The Bosphorus, Istanbul provides you with an exclusive new lifestyle experience thanks to Swissotel Living: 63 elegant suites in a variety of sizes, from studio to one to three-bedroom, offer the ultimate in style and luxury, and allow guests to enjoy the full range of hotel services - which includes an exclusive rooftop pool - within the comfort of their own four walls.",Fantastic experience,, February 2023,https://www.tripadvisor.com/Hotel_Review-g293974-d294609-Reviews-Swissotel_The_Bosphorus_Istanbul-Istanbul.html,https://media-cdn.tripadvisor.com/media/photo-s/2a/d3/ca/56/exterior-view.jpg,$$ (Based on Average Nightly Rates for a Standard Room from our Partners),5.0,5032,"AcIsu Sok. No: 19 Macka Besiktas, Vişnezade",Istanbul,Turkiye,0.9987647533416748,0.8971999779343605
Primero Hotel,,Thank you very much Omer and primero  hotel,"Very good time ,we enjoyed our stay,omar,Faisal ,yasin seyit they all were very friendly and excellent service, I would like to recommend it. And I will plan to stay here again next visit,it is convenient location ,I enjoyed turkey ,Allah bless.", January 2024,https://www.tripadvisor.com/Hotel_Review-g293974-d14012180-Reviews-Primero_Hotel-Istanbul.html,https://media-cdn.tripadvisor.com/media/photo-s/12/cd/3c/31/primero-hotel.jpg,$ (Based on Average Nightly Rates for a Standard Room from our Partners),5.0,719,Pertevpasa Sok. No:25 Emi̇nsi̇nan Mah.,Istanbul,Turkiye,0.9987449645996094,0.9479937717318535
